sku,date,prediction,model_used
SKU001,2025-02-04,25.236925949050942,random_forest
SKU002,2025-02-04,9.807477858946607,random_forest
SKU003,2025-02-04,23.548859352297782,random_forest
SKU004,2025-02-04,44.46177507984901,random_forest
SKU005,2025-02-04,13.34274981962482,random_forest
SKU006,2025-02-04,36.03278869047619,random_forest
SKU007,2025-02-04,60.39409672619049,random_forest
SKU008,2025-02-04,19.59251082275143,random_forest
SKU009,2025-02-04,32.14939969571492,random_forest
SKU010,2025-02-04,72.0392867651672,random_forest
SKU011,2025-02-04,26.7998936166173,random_forest
SKU012,2025-02-04,49.298182576818625,random_forest
SKU013,2025-02-04,87.54596092796092,random_forest
SKU014,2025-02-04,31.695811110729583,random_forest
SKU015,2025-02-04,63.42530257936507,random_forest
SKU016,2025-02-04,86.73557665945165,random_forest
SKU017,2025-02-04,36.98739018684912,random_forest
SKU018,2025-02-04,66.71339718614719,random_forest
SKU019,2025-02-04,110.79443501984129,random_forest
SKU020,2025-02-04,37.731280868671504,random_forest
SKU001,2025-02-05,27.251106060606052,random_forest
SKU002,2025-02-05,11.552410714285713,random_forest
SKU003,2025-02-05,25.65047953706635,random_forest
SKU004,2025-02-05,44.98036029384479,random_forest
SKU005,2025-02-05,16.057843253968255,random_forest
SKU006,2025-02-05,29.52402711123646,random_forest
SKU007,2025-02-05,58.229583395770895,random_forest
SKU008,2025-02-05,19.559476522752416,random_forest
SKU009,2025-02-05,42.95131751071641,random_forest
SKU010,2025-02-05,72.27124311437356,random_forest
SKU011,2025-02-05,25.84772224600764,random_forest
SKU012,2025-02-05,45.29096745113742,random_forest
SKU013,2025-02-05,101.7601128940504,random_forest
SKU014,2025-02-05,30.15591929665317,random_forest
SKU015,2025-02-05,62.4880075757576,random_forest
SKU016,2025-02-05,91.51210119047617,random_forest
SKU017,2025-02-05,38.423489691973394,random_forest
SKU018,2025-02-05,66.06631421356424,random_forest
SKU019,2025-02-05,122.63354080988456,random_forest
SKU020,2025-02-05,44.71799966277685,random_forest
SKU001,2025-02-06,23.781247504055536,random_forest
SKU002,2025-02-06,10.046027732683982,random_forest
SKU003,2025-02-06,21.86611254216031,random_forest
SKU004,2025-02-06,43.18929871146868,random_forest
SKU005,2025-02-06,16.828335317460315,random_forest
SKU006,2025-02-06,35.22328515771378,random_forest
SKU007,2025-02-06,55.469807484182475,random_forest
SKU008,2025-02-06,17.502623623308214,random_forest
SKU009,2025-02-06,35.217766611092294,random_forest
SKU010,2025-02-06,69.02705723775017,random_forest
SKU011,2025-02-06,21.656995129350975,random_forest
SKU012,2025-02-06,43.72568471459096,random_forest
SKU013,2025-02-06,70.79917228604728,random_forest
SKU014,2025-02-06,29.54819300053085,random_forest
SKU015,2025-02-06,57.637512765271715,random_forest
SKU016,2025-02-06,89.9744732142857,random_forest
SKU017,2025-02-06,31.964436906572203,random_forest
SKU018,2025-02-06,64.69720842826766,random_forest
SKU019,2025-02-06,95.10985425685426,random_forest
SKU020,2025-02-06,37.28525118964316,random_forest
SKU001,2025-02-07,19.18492282859222,random_forest
SKU002,2025-02-07,6.914564393939396,random_forest
SKU003,2025-02-07,14.626187600135715,random_forest
SKU004,2025-02-07,31.897108310806843,random_forest
SKU005,2025-02-07,10.257573628169217,random_forest
SKU006,2025-02-07,21.75558748196249,random_forest
SKU007,2025-02-07,37.56472177128426,random_forest
